Ctrl4,Ctrl5,Ctrl6,pyg4,pyg5,pyg6
WBGene00021689,1107,732,766,1665,753,528
WBGene00021690,9,8,0,1,1,1
WBGene00021691,5003,2231,2473,4728,2477,1022
WBGene00021692,122,96,99,111,75,45
WBGene00021693,55,36,34,59,34,10
WBGene00021694,1,0,3,0,3,0
WBGene00021697,4416,2528,3286,4762,2698,1379
WBGene00021698,1969,1222,1431,1852,1400,687
WBGene00021700,21,6,9,20,9,7
WBGene00021701,12,6,7,7,9,2
WBGene00021702,1966,1241,1584,2091,1415,791
WBGene00021703,665,379,376,1548,580,225
WBGene00021704,217,154,132,235,123,101
WBGene00021705,0,0,1,1,0,0
WBGene00021706,2,0,1,0,0,0
WBGene00021707,0,1,2,5,0,0
WBGene00021708,1,0,1,1,1,0
WBGene00021709,823,593,870,843,781,372
WBGene00021710,6,2,3,4,2,1
WBGene00021711,59,25,29,103,31,20
WBGene00021713,24,20,20,34,22,18
WBGene00021714,815,515,528,1134,528,324
WBGene00021715,370,266,280,353,278,169
WBGene00021716,5,2,3,3,7,2
WBGene00021717,1,2,2,1,0,1
WBGene00021718,0,0,0,0,0,0
WBGene00021719,37,13,16,31,10,7
WBGene00021720,50,12,25,19,22,14
WBGene00021721,775,428,436,1103,460,215
WBGene00021722,1,0,0,0,1,1
WBGene00021723,4,10,5,8,3,1
WBGene00021724,0,1,0,0,0,0
WBGene00021725,70,44,24,93,25,20
WBGene00021726,54,40,20,49,19,7
WBGene00021727,15,10,7,15,7,4
WBGene00021728,0,0,0,0,1,0
WBGene00021729,1,1,1,1,0,0
WBGene00021730,203,109,127,221,127,81
WBGene00021731,2,6,3,1,2,1
WBGene00021732,1260,837,932,1357,800,592
WBGene00021733,849,584,678,1227,670,341
WBGene00021734,13,13,16,13,15,8
WBGene00021735,1318,912,847,1858,908,638
WBGene00021736,479,332,345,618,348,234
WBGene00021737,0,0,1,0,0,0
WBGene00021738,933,582,631,1000,631,350
WBGene00021739,83,59,76,69,71,28
WBGene00021740,4,10,13,6,18,12
WBGene00021741,78,47,50,79,54,26
WBGene00021742,1073,804,882,1081,870,519
WBGene00021743,1118,831,1121,1279,1023,669
WBGene00021744,2,1,5,2,4,3
WBGene00021745,37,14,29,28,13,10
WBGene00021746,4,3,5,4,1,0
WBGene00021747,65,56,45,113,42,27
WBGene00021748,1167,710,789,1387,807,487
WBGene00021749,796,532,634,1076,574,376
WBGene00021750,268,207,172,391,191,120
WBGene00021751,547,297,352,574,315,224
WBGene00021752,1028,599,572,1309,592,326
WBGene00021753,1347,978,992,1685,955,601
WBGene00021754,1763,1214,1457,2669,1209,722
WBGene00021755,58,27,28,43,30,18
WBGene00021756,1162,693,734,1688,775,508
WBGene00021757,521,376,354,640,373,211
WBGene00021758,400,279,279,384,301,167
WBGene00021759,188,130,151,175,149,92
WBGene00021760,0,0,0,0,0,0
WBGene00021763,3178,2069,1732,3940,1871,1314
WBGene00021764,2004,1196,1386,2168,1297,766
WBGene00021765,1341,908,1022,1767,962,603
WBGene00021766,1201,961,945,1961,973,581
WBGene00021768,10704,6208,8075,7611,7913,4398
WBGene00021771,1149,894,969,1464,834,561
WBGene00021772,157,136,152,95,122,51
WBGene00021773,17,8,6,24,2,8
WBGene00021774,13,8,9,32,7,11
WBGene00021776,24,24,22,41,34,12
WBGene00021778,7,4,10,10,4,5
WBGene00021779,2688,1458,2468,1069,2258,1185
WBGene00021780,12,2,8,3,4,9
WBGene00021781,657,481,380,784,431,286
WBGene00021783,898,634,696,947,646,395
WBGene00021784,3702,2302,2710,4243,2546,1332
WBGene00021785,535,379,352,431,335,241
WBGene00021786,9,7,11,2,10,8
WBGene00021787,35,10,24,27,20,12
WBGene00021788,3,0,4,1,4,2
WBGene00021789,558,435,441,727,397,236
WBGene00021790,8,8,8,12,8,6
WBGene00021791,77,41,65,26,79,35
WBGene00021792,4,3,5,3,5,2
WBGene00021793,12,3,2,7,1,5
WBGene00021794,9,7,0,9,1,1
WBGene00021795,417,320,273,557,256,160
WBGene00021796,59,34,66,14,22,19
WBGene00021797,105,61,66,194,74,38
WBGene00021798,11,9,14,18,16,9
WBGene00021799,42,50,36,66,56,40
WBGene00021800,3888,2360,2912,3948,2669,1419
WBGene00021801,0,3,2,5,1,1
WBGene00021803,0,1,0,0,0,0
WBGene00021804,1,1,2,2,3,1
WBGene00021805,4,0,1,0,0,0
WBGene00021806,2,2,3,0,2,2
WBGene00021807,8,2,4,8,3,1
WBGene00021808,872,505,625,733,530,360
WBGene00021809,8,11,6,8,6,4
WBGene00021810,670,413,466,827,463,271
WBGene00021811,1766,1325,1534,1801,1422,605
WBGene00021812,270,209,192,328,190,137
WBGene00021813,1147,776,833,1498,844,511
WBGene00021814,419,269,352,284,296,155
WBGene00021815,513,335,392,539,338,206
WBGene00021816,2041,1259,1304,1766,1313,814
WBGene00021817,275,197,235,237,212,144
WBGene00021818,805,545,527,739,621,252
WBGene00021819,11,8,8,7,10,6
WBGene00021820,1192,652,718,1408,737,380
WBGene00021821,0,1,0,0,1,0
WBGene00021822,0,0,0,0,0,0
WBGene00021826,1645,1213,1267,2048,1355,760
WBGene00021827,775,597,505,1051,612,409
WBGene00021828,818,648,625,1195,643,446
WBGene00021829,599,384,360,518,431,251
WBGene00021830,864,532,502,722,551,284
WBGene00021831,2905,2089,2565,4165,2203,1332
WBGene00021832,825,665,516,1223,530,386
WBGene00021833,0,1,0,2,1,2
WBGene00021834,2979,2099,2880,2961,2636,1355
WBGene00021835,1719,1148,1595,735,1477,806
WBGene00021837,9,2,4,12,2,1
WBGene00021838,4,12,7,4,8,8
WBGene00021839,1575,962,1210,940,1257,653
WBGene00021840,875,552,624,1323,590,379
WBGene00021841,790,597,604,1046,628,384
WBGene00021842,1960,1296,1299,2089,1424,768
WBGene00021843,1692,949,946,1602,1044,498
WBGene00021844,2499,1683,1753,2426,1815,1043
WBGene00021845,1284,780,750,1232,743,529
WBGene00021846,625,461,456,1046,500,315
WBGene00021847,1759,1093,1235,1847,1227,572
WBGene00021848,6,0,1,7,1,0
WBGene00021849,2089,1189,1478,1850,1471,797
WBGene00021850,102,66,64,151,58,22
WBGene00021852,4209,2436,3335,3745,2764,1410
WBGene00021853,400,191,175,460,209,142
WBGene00021854,1127,838,948,1435,937,523
WBGene00021855,1042,681,659,1139,699,425
WBGene00021856,1296,887,950,2181,917,637
WBGene00021857,6762,4256,4849,7603,4586,2657
WBGene00021858,209,166,170,87,173,92
WBGene00021859,18,18,16,7,14,6
WBGene00021860,22,14,24,21,20,9
WBGene00021861,5,3,4,10,0,1
WBGene00021862,68,77,94,85,75,61
WBGene00021863,379,270,364,519,283,186
WBGene00021864,12,11,8,19,12,6
WBGene00021865,63,48,45,50,42,22
WBGene00021866,30,36,31,45,35,27
WBGene00021867,90,64,67,138,97,60
WBGene00021868,7629,5161,6142,8948,5792,2863
WBGene00021869,6180,4547,6004,4701,6018,3139
WBGene00021870,764,442,705,533,581,267
WBGene00021871,60,27,40,41,28,25
WBGene00021872,7305,5298,8552,2495,4550,2801
WBGene00021873,192,137,174,49,120,62
WBGene00021874,726,493,692,487,533,287
WBGene00021875,122,71,87,76,86,42
WBGene00021876,2818,1706,1973,3661,1844,1124
WBGene00021877,319,242,215,412,221,169
WBGene00021878,58,22,53,20,31,30
WBGene00021879,2962,2009,2870,2018,2461,1434
WBGene00021880,43,34,47,34,33,20
WBGene00021881,103,46,70,62,73,26
WBGene00021882,2285,1483,1623,2523,1636,942
WBGene00021883,10095,5377,5443,11793,5992,3261
WBGene00021884,151,77,95,164,105,69
WBGene00021885,17,18,10,21,8,11
WBGene00021886,94,70,75,160,60,54
WBGene00021887,256,183,151,328,165,109
WBGene00021888,2933,1863,2017,2494,2248,1186
WBGene00021889,18,7,7,4,6,4
WBGene00021890,2644,1544,1750,2928,1632,988
WBGene00021891,0,2,1,1,0,0
WBGene00021892,20,15,15,26,17,6
WBGene00021893,235,166,259,335,238,166
WBGene00021894,276,155,233,151,212,124
WBGene00021895,2967,1859,2942,1479,2008,1327
WBGene00021897,114,55,120,117,100,67
WBGene00021898,247,131,109,266,110,74
WBGene00021899,2111,1382,1392,2419,1346,797
WBGene00021900,945,575,585,842,631,303
WBGene00021901,1286,993,858,1704,889,592
WBGene00021902,548,416,441,692,422,215
WBGene00021903,567,449,527,502,536,282
WBGene00021904,449,330,306,197,371,227
WBGene00021905,678,431,493,854,432,255
WBGene00021906,1731,1017,1045,1858,1018,647
WBGene00021907,5,1,2,2,7,1
WBGene00021908,37,11,27,11,15,15
WBGene00021909,3140,2300,2476,2495,2445,1194
WBGene00021910,2170,1451,1809,2249,1548,830
WBGene00021911,7,3,2,6,4,0
WBGene00021912,713,423,468,732,424,266
WBGene00021913,329,163,234,370,193,104
WBGene00021914,354,241,270,519,234,166
WBGene00021915,117,75,86,131,86,51
WBGene00021916,1,1,0,2,2,0
WBGene00021917,127,91,111,109,86,42
WBGene00021918,68,48,43,27,45,25
WBGene00021919,59,44,48,52,27,18
WBGene00021920,663,412,467,532,439,304
WBGene00021921,2765,1528,1549,3613,1586,1042
WBGene00021922,1782,1081,1041,1712,994,569
WBGene00021923,473,297,291,441,308,140
WBGene00021924,852,544,658,1112,569,386
WBGene00021925,321,222,243,243,262,137
WBGene00021926,1290,984,975,1788,1018,582
WBGene00021927,442,213,264,386,230,126
WBGene00021928,142,129,113,182,125,61
WBGene00021929,1772,1204,1169,2747,1256,873
WBGene00021930,2375,1357,1421,2326,1466,825
WBGene00021931,33,12,26,46,35,17
WBGene00021932,342,228,227,381,265,120
WBGene00021933,1906,1011,1237,1940,1200,674
WBGene00021934,5646,3651,3804,7581,3791,2385
WBGene00021935,512,355,393,639,373,209
WBGene00021936,1143,752,915,1549,903,473
WBGene00021938,2074,1422,1412,2435,1524,764
WBGene00021939,687,341,384,885,356,212
WBGene00021941,70,37,53,68,50,16
WBGene00021942,119,84,95,180,87,66
WBGene00021943,1166,814,1191,1226,935,603
WBGene00021944,37,30,28,23,31,25
WBGene00021945,1145,754,744,1808,783,482
WBGene00021947,2,3,1,2,2,0
WBGene00021948,623,407,581,559,523,281
WBGene00021949,1,0,0,1,0,1
WBGene00021950,488,336,395,444,383,192
WBGene00021951,1,0,0,0,0,0
WBGene00021952,10537,7397,9782,10192,8255,5027
WBGene00021953,3,2,1,3,4,0
WBGene00021956,5797,4136,4668,6780,4396,2268
WBGene00021957,1,0,0,0,1,0
WBGene00021958,5,0,1,0,0,4
WBGene00021959,1654,1263,1241,1444,1288,935
WBGene00021960,1524,944,1071,887,1042,735
WBGene00021961,0,0,0,0,0,0
WBGene00021963,29,13,25,31,20,11
WBGene00021964,3,0,0,0,0,2
WBGene00021965,298,228,357,91,268,124
WBGene00021966,36,10,13,35,31,14
WBGene00021967,7,4,5,2,2,7
WBGene00021968,54,29,44,21,32,25
WBGene00021969,123,51,128,52,80,60
WBGene00021970,2,1,1,3,0,0
WBGene00021971,14,9,4,23,8,2
WBGene00021972,4,3,3,6,2,3
WBGene00021973,1567,954,1011,1538,1047,518
WBGene00021974,8,4,10,4,7,3
WBGene00021975,846,597,910,551,923,558
WBGene00021976,35,25,26,17,31,15
WBGene00021977,1533,1075,1317,1948,1095,665
WBGene00021978,60,29,28,105,25,16
WBGene00021979,383,182,143,671,198,126
WBGene00021980,41,29,42,39,46,14
WBGene00021981,461,301,383,394,363,191
WBGene00021983,273,193,310,295,262,123
WBGene00021984,1238,742,1093,954,884,464
WBGene00021985,876,517,623,1165,640,377
WBGene00021986,1496,830,1075,1450,945,506
WBGene00021987,1,0,1,0,0,0
WBGene00021988,0,0,0,0,0,0
WBGene00021990,1,0,0,3,3,1
WBGene00021991,0,0,0,0,0,0
WBGene00021992,3,2,2,6,3,0
WBGene00021993,34,8,37,13,34,12
WBGene00021994,207,135,183,241,145,59
WBGene00021995,22,7,8,14,9,10
WBGene00021996,278,120,255,88,193,145
WBGene00021997,0,1,0,0,0,0
WBGene00021998,0,0,2,0,1,0
WBGene00021999,5,0,1,6,1,3
WBGene00022000,0,0,0,0,0,0
WBGene00022001,0,0,0,0,0,0
WBGene00022002,1,0,0,1,0,0
WBGene00022003,0,0,0,0,0,0
WBGene00022004,60,62,66,80,57,36
WBGene00022005,2,0,0,2,2,0
WBGene00022006,0,0,2,0,1,0
WBGene00022007,4,4,23,0,0,1
WBGene00022008,8,3,18,3,7,5
WBGene00022010,5501,3430,4974,4980,3904,2087
WBGene00022011,1,1,1,2,1,0
WBGene00022012,339,338,402,356,368,154
WBGene00022013,17,6,3,9,11,3
WBGene00022014,1273,756,813,1466,810,421
WBGene00022015,1240,715,873,1538,806,484
WBGene00022016,9,3,4,7,0,5
WBGene00022017,53,47,50,85,45,28
WBGene00022018,40,31,40,30,26,15
WBGene00022019,3219,2215,2260,3883,2087,1465
WBGene00022020,3,5,2,4,3,1
WBGene00022021,2083,1302,1453,2511,1304,788
WBGene00022022,368,236,262,401,257,126
WBGene00022023,0,0,0,0,0,0
WBGene00022024,15,11,6,10,0,3
WBGene00022025,1768,1239,1165,2157,1223,753
WBGene00022026,429,202,277,351,263,141
WBGene00022027,1956,1259,1522,1640,1519,863
WBGene00022028,36,33,48,22,34,17
WBGene00022029,2694,1617,1608,2739,1762,1000
WBGene00022030,2,2,7,2,4,4
WBGene00022031,878,594,596,894,648,336
WBGene00022032,48,18,47,17,35,10
WBGene00022033,348,146,129,463,105,61
WBGene00022034,2926,1829,1787,4135,1606,1306
WBGene00022035,286,211,182,380,202,161
WBGene00022036,823,571,457,1176,538,400
WBGene00022037,18541,10305,11355,22018,10792,6304
WBGene00022038,15,7,2,5,4,4
WBGene00022039,63,16,28,23,33,11
WBGene00022040,70,53,45,79,33,27
WBGene00022042,14661,7480,7357,10725,7872,4825
WBGene00022043,592,381,341,657,369,289
WBGene00022044,1016,778,844,1023,804,373
WBGene00022045,265,153,155,190,160,127
WBGene00022046,2352,1531,1325,2254,1547,725
WBGene00022047,1311,887,1173,881,908,428
WBGene00022048,22601,14091,19770,21970,15607,8739
WBGene00022051,1656,996,1161,1787,1208,651
WBGene00022052,1026,661,794,1348,814,390
WBGene00022053,2268,1292,1482,1680,1582,774
WBGene00022054,246,179,142,287,172,137
WBGene00022055,273,204,190,203,200,139
WBGene00022056,768,457,529,1102,447,276
WBGene00022057,1051,635,675,1502,782,438
WBGene00022059,2381,1514,1759,2807,1487,937
WBGene00022060,429,252,256,393,259,151
WBGene00022061,10,15,15,20,16,3
WBGene00022062,14,5,9,6,15,6
WBGene00022063,62,44,50,50,65,19
WBGene00022064,0,0,0,0,0,0
WBGene00022066,4,2,1,2,4,0
WBGene00022067,338,263,255,420,257,183
WBGene00022069,18569,9165,14149,20224,11457,6771
WBGene00022070,4,5,3,6,0,2
WBGene00022071,7,8,5,11,7,10
WBGene00022072,1253,970,1469,423,1454,860
WBGene00022073,281,163,226,293,170,102
WBGene00022074,2674,1573,1605,3384,1703,1018
WBGene00022075,917,556,573,372,767,374
WBGene00022076,356,308,384,109,352,122
WBGene00022077,639,338,415,675,436,251
WBGene00022078,1922,988,932,2567,1073,523
WBGene00022079,36,19,41,14,19,17
WBGene00022082,27,15,28,36,24,15
WBGene00022083,17,9,7,21,3,1
WBGene00022085,25,3,17,1,14,8
WBGene00022086,6,10,17,13,12,5
WBGene00022087,2171,1307,1533,2960,1422,833
WBGene00022089,15627,8346,9960,12343,9282,5167
WBGene00022090,203,97,217,86,118,112
WBGene00022092,1077,667,585,1032,703,394
WBGene00022093,976,665,851,591,753,401
WBGene00022094,9,5,12,2,8,6
WBGene00022095,1,1,0,0,1,0
WBGene00022096,5,4,2,2,4,2
WBGene00022097,1,0,0,0,0,0
WBGene00022099,657,386,307,447,401,247
WBGene00022100,342,204,329,329,279,157
WBGene00022101,334,201,187,364,212,118
WBGene00022102,26,26,25,16,27,14
WBGene00022103,402,163,134,620,113,65
WBGene00022104,327,157,247,180,259,89
WBGene00022106,50,24,36,35,39,23
WBGene00022107,625,477,473,950,443,360
WBGene00022108,73,44,64,36,54,36
WBGene00022110,138,81,72,168,95,51
WBGene00022111,21,12,15,17,10,6
WBGene00022112,72,44,37,69,26,22
WBGene00022113,282,250,195,419,215,155
WBGene00022114,10737,6325,7482,10962,6679,4415
WBGene00022115,1270,741,746,1206,739,533
WBGene00022116,4,0,1,0,1,2
WBGene00022117,809,631,531,1067,616,353
WBGene00022118,543,366,370,473,461,257
WBGene00022119,11248,6517,8061,12806,7404,3915
WBGene00022121,1850,1231,1345,2291,1331,696
WBGene00022122,9559,5347,6459,8911,6036,4064
WBGene00022123,38,37,30,38,33,24
WBGene00022124,648,449,504,1028,509,357
WBGene00022125,628,406,461,361,511,193
WBGene00022126,641,467,447,702,516,256
WBGene00022127,4489,2858,2706,4429,2929,2225
WBGene00022128,705,423,543,844,533,346
WBGene00022129,364,245,326,361,323,169
WBGene00022130,227,166,205,123,232,68
WBGene00022131,1366,876,1197,937,1127,624
WBGene00022133,23,9,26,5,15,10
WBGene00022134,2659,1559,1640,3383,1648,1046
WBGene00022138,776,523,613,1047,587,306
WBGene00022139,3471,1831,2324,3381,2292,1224
WBGene00022140,60,46,28,41,32,20
WBGene00022141,1817,1194,980,2363,1055,710
WBGene00022142,142,119,148,109,119,57
WBGene00022143,31,17,16,5,31,16
WBGene00022144,2136,1159,1466,1334,1348,713
WBGene00022145,20,10,12,20,13,11
WBGene00022146,963,720,908,954,887,489
WBGene00022147,3,1,4,9,3,1
WBGene00022148,1472,1012,1047,1725,1070,613
WBGene00022149,1232,720,846,1801,819,539
WBGene00022150,1518,948,958,1609,1094,575
WBGene00022152,875,573,570,833,583,375
WBGene00022153,896,602,682,1277,678,387
WBGene00022154,167,100,149,134,97,68
WBGene00022155,87,56,64,71,71,30
WBGene00022156,1,0,0,0,0,1
WBGene00022157,26,11,27,15,21,9
WBGene00022158,157,88,125,168,130,59
WBGene00022159,489,339,347,500,333,244
WBGene00022160,586,395,517,553,463,225
WBGene00022161,68,40,35,52,37,14
WBGene00022162,51,28,42,11,42,19
WBGene00022163,9,3,1,6,3,0
WBGene00022165,26,27,26,25,26,18
WBGene00022166,800,509,589,915,556,339
WBGene00022167,1408,882,956,2022,907,470
WBGene00022168,831,591,768,1316,618,392
WBGene00022169,1409,801,971,773,1042,607
WBGene00022170,7103,4233,5040,3367,5077,3229
WBGene00022171,237,173,195,221,185,100
WBGene00022172,237,222,166,378,174,175
WBGene00022173,467,362,402,631,397,234
WBGene00022174,1534,1105,1190,1780,1119,696
WBGene00022175,236,149,186,256,177,106
WBGene00022176,2128,1518,1919,2202,1918,821
WBGene00022177,228,192,242,196,233,145
WBGene00022178,9048,5491,6573,8062,5839,2959
WBGene00022179,7,12,10,15,7,6
WBGene00022180,198,92,131,215,99,65
WBGene00022181,580,294,317,494,208,159
WBGene00022182,1240,877,856,1812,849,657
WBGene00022185,1486,1163,1109,1952,1180,622
WBGene00022188,922,615,712,749,744,319
WBGene00022189,22,9,18,35,11,11
WBGene00022190,138,137,103,134,127,63
WBGene00022191,679,443,658,273,610,313
WBGene00022192,1559,1058,1042,2010,1085,734
WBGene00022193,1535,1085,1083,1871,1160,670
WBGene00022194,3995,2887,3709,1218,3928,1596
WBGene00022195,773,573,608,1106,536,322
WBGene00022196,527,353,572,346,474,223
WBGene00022197,192,142,205,268,148,77
WBGene00022198,142,120,122,196,101,70
WBGene00022199,4067,2354,3209,3751,2758,1341
WBGene00022200,4137,3015,4089,4995,3410,1874
WBGene00022201,7433,4518,5617,8425,5246,2723
WBGene00022202,139,82,119,168,135,73
WBGene00022203,1554,738,671,2075,846,516
WBGene00022204,38,17,20,53,29,23
WBGene00022205,187,137,116,182,117,80
WBGene00022206,354,193,230,586,207,184
WBGene00022207,0,1,1,1,0,1
WBGene00022209,3,2,0,1,1,0
WBGene00022210,1,0,0,0,0,0
WBGene00022211,343,224,261,449,221,160
WBGene00022212,122,88,93,138,88,47
WBGene00022213,2,0,3,1,2,0
WBGene00022214,21,13,15,15,8,5
WBGene00022215,6,4,9,10,8,6
WBGene00022216,2,1,1,3,0,2
WBGene00022217,0,0,0,1,0,0
WBGene00022218,9,0,0,12,2,1
WBGene00022219,502,274,387,383,372,204
WBGene00022221,43,38,31,26,42,29
WBGene00022222,41,30,37,95,29,22
WBGene00022223,24,7,9,33,8,4
WBGene00022224,6,7,2,9,4,4
WBGene00022225,0,0,3,4,3,0
WBGene00022227,258,133,184,313,177,104
WBGene00022228,30,17,29,16,16,8
WBGene00022229,7,2,5,5,6,5
WBGene00022230,23,22,39,18,22,6
WBGene00022231,703,566,772,559,623,353
WBGene00022232,614,457,389,823,387,236
WBGene00022233,1452,1041,968,2369,993,580
WBGene00022235,17082,10961,11513,19331,10374,7372
WBGene00022236,12,12,17,35,28,14
WBGene00022237,27,23,24,33,12,19
WBGene00022240,94,70,86,102,68,48
WBGene00022242,140,94,116,101,108,42
WBGene00022243,3,0,4,3,4,2
WBGene00022244,1280,869,763,1601,819,602
WBGene00022245,22471,17578,29002,9757,19072,9331
WBGene00022246,801,561,819,662,614,321
WBGene00022247,83,46,80,97,66,23
WBGene00022248,334,280,323,332,348,239
WBGene00022249,0,3,0,2,1,1
WBGene00022250,260,170,178,430,169,108
WBGene00022251,775,547,589,866,583,394
WBGene00022252,2843,2106,2350,3587,2647,1001
WBGene00022253,2336,1472,1338,3045,1541,989
WBGene00022254,211,133,157,107,156,107
WBGene00022255,84,94,95,62,86,39
WBGene00022256,1,3,2,1,2,1
WBGene00022257,5957,3288,2957,8617,3197,1862
WBGene00022258,466,280,408,446,338,192
WBGene00022259,333,212,248,313,220,130
WBGene00022260,868,567,780,740,754,349
WBGene00022261,210,101,167,341,274,118
WBGene00022262,32,27,33,98,26,21
WBGene00022263,2,5,0,5,2,0
WBGene00022264,0,1,0,0,0,0
WBGene00022265,42,32,37,137,23,21
WBGene00022266,0,0,0,0,0,0
WBGene00022267,2,1,2,1,1,0
WBGene00022268,2113,1346,1453,1614,1568,859
WBGene00022269,393,321,318,444,265,181
WBGene00022270,778,445,639,551,573,271
WBGene00022271,340,251,279,303,301,161
WBGene00022272,4,3,0,4,1,4
WBGene00022273,414,277,294,396,356,214
WBGene00022274,106,39,43,128,38,28
WBGene00022275,5,4,9,10,3,1
WBGene00022276,10181,7119,9393,6035,8396,4887
WBGene00022277,885,593,637,927,684,309
WBGene00022278,2018,1494,1327,3107,1342,1028
WBGene00022279,2408,1703,2501,2527,2032,1094
WBGene00022280,1361,862,972,1450,1038,449
WBGene00022281,452,331,454,632,415,210
WBGene00022282,4,3,4,0,5,1
WBGene00022283,99,83,69,119,62,24
WBGene00022284,273,207,272,341,234,116
WBGene00022285,75,48,74,74,77,45
WBGene00022286,4673,2092,2381,5519,2316,1306
WBGene00022287,65,37,11,66,17,4
WBGene00022288,44,18,30,34,31,15
WBGene00022289,1,1,4,0,0,1
WBGene00022290,0,0,0,0,0,0
WBGene00022291,1,0,0,0,0,0
WBGene00022292,128,90,76,154,80,46
WBGene00022295,20,14,22,17,15,10
WBGene00022296,3410,2317,2401,4806,2194,1693
WBGene00022297,1347,940,1055,1284,1076,560
WBGene00022298,71,37,53,61,50,29
WBGene00022300,1069,705,773,1491,729,462
WBGene00022301,1879,1236,1382,2669,1223,727
WBGene00022302,56,25,35,18,35,30
WBGene00022303,10,7,4,15,6,8
WBGene00022306,2707,1772,1990,2934,1800,1035
WBGene00022307,3078,1627,1882,2231,1850,822
WBGene00022308,2,0,1,0,1,1
WBGene00022309,162,117,92,112,120,60
WBGene00022310,1776,1193,1174,2569,1167,852
WBGene00022311,5,0,4,5,2,0
WBGene00022312,3,1,2,6,3,3
WBGene00022313,675,526,747,518,694,256
WBGene00022314,64,45,56,42,53,26
WBGene00022315,6,2,0,0,0,0
WBGene00022316,4,0,3,3,4,3
WBGene00022317,2,1,1,0,0,0
WBGene00022318,0,0,0,0,0,0
WBGene00022319,3,0,0,2,1,0
WBGene00022320,3,1,0,3,0,4
WBGene00022321,16,21,15,22,12,9
WBGene00022322,7,1,2,4,3,0
WBGene00022323,1,5,2,1,4,0
WBGene00022324,353,239,237,401,277,169
WBGene00022325,66,54,47,64,45,30
WBGene00022326,199,173,167,158,139,78
WBGene00022327,31,24,27,29,29,10
WBGene00022328,2,4,2,7,3,3
WBGene00022329,439,300,397,328,309,184
WBGene00022330,153,126,162,155,113,58
WBGene00022331,181,134,192,222,150,78
WBGene00022332,21,18,17,16,22,10
WBGene00022333,201,162,227,221,167,107
WBGene00022334,66,37,36,77,40,28
WBGene00022335,339,228,230,501,226,125
WBGene00022336,37286,18688,23103,21290,22946,14662
WBGene00022337,142,109,153,121,142,70
WBGene00022338,0,0,0,3,0,0
WBGene00022339,16,7,3,3,6,0
WBGene00022340,0,0,0,0,0,0
WBGene00022341,0,0,0,0,0,0
WBGene00022342,0,0,0,0,0,0
WBGene00022343,1,0,0,0,0,0
WBGene00022344,3,0,0,9,3,0
WBGene00022345,29,25,22,28,18,15
WBGene00022346,499,403,460,531,364,218
WBGene00022347,2360,1437,1624,1929,1682,918
WBGene00022348,3102,1876,2274,3338,2066,1154
WBGene00022349,202,140,114,278,103,57
WBGene00022350,1704,1153,1293,2100,1197,770
WBGene00022351,489,318,330,757,320,272
WBGene00022352,6,1,3,2,1,0
WBGene00022353,85,54,62,86,51,32
WBGene00022354,329,256,284,140,313,200
WBGene00022356,1,0,0,0,0,0
WBGene00022357,602,503,402,382,435,298
WBGene00022358,2199,1253,1652,2015,1596,819
WBGene00022360,870,536,642,1264,586,387
WBGene00022361,2001,1072,1416,2605,1193,725
WBGene00022363,822,519,550,932,605,348
WBGene00022365,215,155,194,193,203,121
WBGene00022366,558,288,443,553,416,238
WBGene00022367,174,92,118,141,129,49
WBGene00022368,757,569,539,864,594,460
WBGene00022369,6358,4023,4361,7763,4511,2514
WBGene00022370,48,31,50,40,40,21
WBGene00022371,437,285,296,441,286,191
WBGene00022372,551,347,410,795,370,279
WBGene00022373,794,571,604,945,646,304
WBGene00022374,25,30,22,21,19,11
WBGene00022375,17,6,10,20,13,6
WBGene00022376,520,308,317,602,307,243
WBGene00022377,36,46,28,48,20,12
WBGene00022378,785,477,537,812,483,298
WBGene00022379,276,161,182,232,219,99
WBGene00022380,2377,1325,1431,1778,1497,862
WBGene00022381,2074,1401,1423,2240,1359,1016
WBGene00022382,10248,6187,5848,11292,6221,3452
WBGene00022383,172,89,63,178,80,31
WBGene00022385,25,12,28,16,25,11
WBGene00022386,1907,1427,1722,1384,1685,738
WBGene00022388,3259,1906,1929,4562,1999,1176
WBGene00022389,2347,1254,1799,1709,1491,784
WBGene00022390,161,78,97,183,99,59
WBGene00022391,122,64,82,99,88,35
WBGene00022392,7,5,5,4,4,4
WBGene00022393,2451,1750,1800,2769,1699,1144
WBGene00022394,533,349,323,542,380,220
WBGene00022395,2,3,0,2,0,1
WBGene00022396,230,179,277,211,222,111
WBGene00022397,115,82,124,97,86,58
WBGene00022398,602,435,495,831,467,316
WBGene00022399,875,650,479,1343,585,348
WBGene00022400,692,503,501,813,494,302
WBGene00022401,3516,2453,2733,4240,2662,1541
WBGene00022402,949,612,660,836,680,333
WBGene00022403,0,0,0,1,1,1
WBGene00022404,0,0,1,4,1,0
WBGene00022405,5,2,3,1,0,0
WBGene00022406,0,1,5,3,2,0
WBGene00022407,0,0,0,0,1,1
WBGene00022408,1,0,1,0,0,0
WBGene00022409,4,5,4,10,2,14
WBGene00022410,872,604,733,1011,665,471
WBGene00022411,68,34,68,38,61,33
WBGene00022412,161,93,182,151,139,108
WBGene00022413,3750,2777,4099,5194,2955,2068
WBGene00022415,96,74,76,51,70,19
WBGene00022416,45,35,43,55,41,24
WBGene00022417,14,6,17,18,6,11
WBGene00022418,330,240,290,398,254,154
